Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
smokesuite,Chrome 70.0.3538.110,,2019-01-03 22:30:31,2019-01-03 22:31:33,1m - 1.799s,FAILED
,,,,,,
Test Cases/ValidLogin,Chrome 70.0.3538.110,,2019-01-03 22:30:39,2019-01-03 22:31:29,50.729s,FAILED
"openBrowser("""")",Chrome 70.0.3538.110,,2019-01-03 22:30:55,2019-01-03 22:31:26,30.582s,PASSED
"navigateToUrl(""https://circularnavigatora.iso.com/ca/login;jsessionid=qdwZjNUETxn3A0y1RNVrssap.undefined"")",Chrome 70.0.3538.110,,2019-01-03 22:31:26,2019-01-03 22:31:27,1.341s,PASSED
"setText(findTestObject(""Object Repository/Page_ISO Circular Navigator/input_Username_j_username""), ""aaauserdawn"")",Chrome 70.0.3538.110,,2019-01-03 22:31:27,2019-01-03 22:31:29,2.141s,FAILED
